sensor_id_full,sensor_id,sensor_direction,Objectummer,Locatienaam,Lat/Long,Breedte,Effectieve  breedte
CMSA-GAKH-01_0,CMSA-GAKH-01,0,CMSA-GAKH-01,Kalverstraat t.h.v. 1,"52.372634, 4.892071",8,"6,7"
CMSA-GAKH-01_180,CMSA-GAKH-01,180,CMSA-GAKH-01,Kalverstraat t.h.v. 1,"52.372634, 4.892071",8,"6,7"
CMSA-GAWW-11_120,CMSA-GAWW-11,120,CMSA-GAWW-11,Korte Niezel,"52.374616, 4.899830","3,8","3,4"
CMSA-GAWW-11_300,CMSA-GAWW-11,300,CMSA-GAWW-11,Korte Niezel,"52.374616, 4.899830","3,8","3,4"
CMSA-GAWW-12_115,CMSA-GAWW-12,115,CMSA-GAWW-12,Oudekennissteeg,"52.373860, 4.898690",3,"2,6"
CMSA-GAWW-12_295,CMSA-GAWW-12,295,CMSA-GAWW-12,Oudekennissteeg,"52.373860, 4.898690",3,"2,6"
CMSA-GAWW-13_120,CMSA-GAWW-13,120,CMSA-GAWW-13,Stoofsteeg,"52.372439, 4.897689","2,6","2,2"
CMSA-GAWW-13_300,CMSA-GAWW-13,300,CMSA-GAWW-13,Stoofsteeg,"52.372439, 4.897689","2,6","2,2"
CMSA-GAWW-14_40,CMSA-GAWW-14,40,CMSA-GAWW-14,Oudezijds Voorburgwal t.h.v. 91,"52.373538, 4.898166",4,"3,6"
CMSA-GAWW-14_220,CMSA-GAWW-14,220,CMSA-GAWW-14,Oudezijds Voorburgwal t.h.v. 91,"52.373538, 4.898166",4,"3,6"
CMSA-GAWW-15_30,CMSA-GAWW-15,30,CMSA-GAWW-15,Oudezijds Achterburgwal t.h.v. 86,"52.372916, 4.898207","3,2","2,8"
CMSA-GAWW-15_210,CMSA-GAWW-15,210,CMSA-GAWW-15,Oudezijds Achterburgwal t.h.v. 86,"52.372916, 4.898207","3,2","2,8"
CMSA-GAWW-16_30,CMSA-GAWW-16,30,CMSA-GAWW-16,Oudezijds Achterburgwal t.h.v. 91,"52.372628, 4.898233","3,1","2,7"
CMSA-GAWW-16_210,CMSA-GAWW-16,210,CMSA-GAWW-16,Oudezijds Achterburgwal t.h.v. 91,"52.372628, 4.898233","3,1","2,7"
CMSA-GAWW-17_40,CMSA-GAWW-17,40,CMSA-GAWW-17,Oudezijds Voorburgwal t.h.v. 206,"52.372782, 4.896649","5,1","4,7"
CMSA-GAWW-17_220,CMSA-GAWW-17,220,CMSA-GAWW-17,Oudezijds Voorburgwal t.h.v. 206,"52.372782, 4.896649","5,1","4,7"
CMSA-GAWW-19_115,CMSA-GAWW-19,115,CMSA-GAWW-19,Molensteeg,"52.373587, 4.899815","2,9","2,5"
CMSA-GAWW-19_295,CMSA-GAWW-19,295,CMSA-GAWW-19,Molensteeg,"52.373587, 4.899815","2,9","2,5"
CMSA-GAWW-20_120,CMSA-GAWW-20,120,CMSA-GAWW-20,Oudebrugsteeg ,"52.375350, 4.897480","5,7","5,3"
CMSA-GAWW-20_300,CMSA-GAWW-20,300,CMSA-GAWW-20,Oudebrugsteeg ,"52.375350, 4.897480","5,7","5,3"
CMSA-GAWW-21_120,CMSA-GAWW-21,120,CMSA-GAWW-21,Damstraat,"52.371930, 4.895600","9,7","9,3"
CMSA-GAWW-21_300,CMSA-GAWW-21,300,CMSA-GAWW-21,Damstraat,"52.371930, 4.895600","9,7","9,3"
CMSA-GAWW-23_109,CMSA-GAWW-23,109,CMSA-GAWW-23,Bloedstraat,"52.372764, 4.899829","5,7","5,3"
CMSA-GAWW-23_289,CMSA-GAWW-23,289,CMSA-GAWW-23,Bloedstraat,"52.372764, 4.899829","5,7","5,3"
GACM-04_50,GACM-04,50,GACM-04,Damrak 1-5,"52.377027, 4.898059",7,"6,2"
GACM-04_230,GACM-04,230,GACM-04,Damrak 1-5,"52.377027, 4.898059",7,"6,2"
