Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
20/8/25,12:25 AM,63Ê¡F,55Ê¡F,77Ê%,N,8Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,12:55 AM,63Ê¡F,55Ê¡F,77Ê%,NNE,12Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,1:25 AM,63Ê¡F,55Ê¡F,77Ê%,N,10Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,1:55 AM,63Ê¡F,55Ê¡F,77Ê%,NNE,9Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,2:25 AM,63Ê¡F,55Ê¡F,77Ê%,NNE,6Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,2:55 AM,63Ê¡F,55Ê¡F,77Ê%,NNE,7Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,3:25 AM,63Ê¡F,55Ê¡F,77Ê%,NNE,7Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,3:55 AM,63Ê¡F,55Ê¡F,77Ê%,NNE,8Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,4:25 AM,63Ê¡F,55Ê¡F,77Ê%,N,7Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,4:55 AM,63Ê¡F,55Ê¡F,77Ê%,NNE,7Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,5:25 AM,63Ê¡F,54Ê¡F,72Ê%,N,9Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,5:55 AM,63Ê¡F,54Ê¡F,72Ê%,N,10Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,6:25 AM,63Ê¡F,52Ê¡F,68Ê%,N,10Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,6:55 AM,63Ê¡F,52Ê¡F,68Ê%,N,8Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,7:25 AM,63Ê¡F,52Ê¡F,68Ê%,N,9Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,7:55 AM,61Ê¡F,54Ê¡F,77Ê%,NNW,7Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,8:25 AM,63Ê¡F,54Ê¡F,72Ê%,NNW,7Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,8:55 AM,63Ê¡F,52Ê¡F,68Ê%,N,8Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,9:25 AM,64Ê¡F,52Ê¡F,64Ê%,N,8Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,9:55 AM,64Ê¡F,52Ê¡F,64Ê%,N,9Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,10:25 AM,64Ê¡F,52Ê¡F,64Ê%,N,9Êmph,0Êmph,29.96Êin,0.0Êin,Partly Cloudy
20/8/25,10:55 AM,66Ê¡F,52Ê¡F,60Ê%,NNE,8Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,11:25 AM,66Ê¡F,52Ê¡F,60Ê%,N,10Êmph,0Êmph,29.96Êin,0.0Êin,Mostly Cloudy
20/8/25,11:55 AM,68Ê¡F,52Ê¡F,56Ê%,NE,10Êmph,0Êmph,29.96Êin,0.0Êin,Partly Cloudy
20/8/25,12:25 PM,68Ê¡F,52Ê¡F,56Ê%,NNE,9Êmph,0Êmph,29.96Êin,0.0Êin,Partly Cloudy
20/8/25,12:55 PM,70Ê¡F,54Ê¡F,56Ê%,NNE,8Êmph,0Êmph,29.96Êin,0.0Êin,Partly Cloudy
20/8/25,1:25 PM,70Ê¡F,52Ê¡F,53Ê%,NNE,9Êmph,0Êmph,29.93Êin,0.0Êin,Partly Cloudy
20/8/25,1:55 PM,72Ê¡F,54Ê¡F,53Ê%,NE,8Êmph,0Êmph,29.93Êin,0.0Êin,Partly Cloudy
20/8/25,2:25 PM,73Ê¡F,54Ê¡F,50Ê%,ENE,12Êmph,0Êmph,29.93Êin,0.0Êin,Partly Cloudy
20/8/25,2:55 PM,73Ê¡F,54Ê¡F,50Ê%,ENE,9Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,3:25 PM,73Ê¡F,54Ê¡F,50Ê%,ENE,9Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,3:55 PM,73Ê¡F,55Ê¡F,53Ê%,NE,9Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,4:25 PM,73Ê¡F,54Ê¡F,50Ê%,ENE,9Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,4:55 PM,73Ê¡F,54Ê¡F,50Ê%,ENE,9Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,5:25 PM,73Ê¡F,55Ê¡F,53Ê%,NNE,8Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,5:55 PM,73Ê¡F,54Ê¡F,50Ê%,NNE,10Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,6:25 PM,75Ê¡F,55Ê¡F,50Ê%,NE,12Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,6:55 PM,73Ê¡F,54Ê¡F,50Ê%,NNE,13Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,7:25 PM,72Ê¡F,50Ê¡F,46Ê%,NE,16Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,7:55 PM,70Ê¡F,48Ê¡F,46Ê%,NE,14Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,8:25 PM,68Ê¡F,50Ê¡F,52Ê%,NE,14Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,8:55 PM,68Ê¡F,48Ê¡F,49Ê%,NNE,15Êmph,0Êmph,29.90Êin,0.0Êin,Fair
20/8/25,9:25 PM,66Ê¡F,50Ê¡F,56Ê%,NE,13Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,9:55 PM,64Ê¡F,52Ê¡F,64Ê%,NNE,14Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,10:25 PM,64Ê¡F,52Ê¡F,64Ê%,NNE,13Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,10:55 PM,64Ê¡F,52Ê¡F,64Ê%,NNE,12Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,11:25 PM,63Ê¡F,54Ê¡F,72Ê%,NNE,10Êmph,0Êmph,29.93Êin,0.0Êin,Fair
20/8/25,11:55 PM,63Ê¡F,54Ê¡F,72Ê%,NNE,10Êmph,0Êmph,29.93Êin,0.0Êin,Fair
