OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
1;"GAWW-03";"Telcamera";"Eigen voeding via lichtnet";115;"Nee";"";"POINT(4.8973882 52.3725107)";"POINT(52.3725107 4.8973882)";4.8973882;52.3725107
2;"GAWW-03";"WiFi sensor";"Eigen voeding via lichtnet";115;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8973286 52.3725307)";"POINT(52.3725307 4.8973286)";4.8973286;52.3725307
3;"GAWW-02";"WiFi sensor";"Eigen voeding via lichtnet";115;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8988655 52.3738052)";"POINT(52.3738052 4.8988655)";4.8988655;52.3738052
4;"GAWW-02";"Telcamera";"Eigen voeding via lichtnet";115;"Nee";"";"POINT(4.8988977 52.3737927)";"POINT(52.3737927 4.8988977)";4.8988977;52.3737927
5;"GAWW-01";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8997617 52.374634)";"POINT(52.374634 4.8997617)";4.8997617;52.374634
6;"GAWW-01";"Telcamera";"Eigen voeding via lichtnet";115;"Nee";"";"POINT(4.8998421 52.3746076)";"POINT(52.3746076 4.8998421)";4.8998421;52.3746076
7;"GAWW-05";"Telcamera";"Eigen voeding via lichtnet";14;"Nee";"";"POINT(4.8977116 52.3723604)";"POINT(52.3723604 4.8977116)";4.8977116;52.3723604
8;"GAWW-08";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8971877 52.3716573)";"POINT(52.3716573 4.8971877)";4.8971877;52.3716573
9;"GAWW-10";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8988029 52.372376)";"POINT(52.372376 4.8988029)";4.8988029;52.372376
10;"GAWW-06";"Telcamera";"Eigen voeding via lichtnet";20;"Nee";"";"POINT(4.8980838 52.3724649)";"POINT(52.3724649 4.8980838)";4.8980838;52.3724649
11;"GAWW-06";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8980481 52.372423)";"POINT(52.372423 4.8980481)";4.8980481;52.372423
12;"GAWW-04";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8979861 52.3733555)";"POINT(52.3733555 4.8979861)";4.8979861;52.3733555
13;"GAWW-04";"Telcamera";"Eigen voeding via lichtnet";30;"Nee";"";"POINT(4.8979026 52.37329)";"POINT(52.37329 4.8979026)";4.8979026;52.37329
14;"GAWW-07";"Telcamera";"Eigen voeding via lichtnet";110;"Nee";"";"POINT(4.9003493 52.3744615)";"POINT(52.3744615 4.9003493)";4.9003493;52.3744615
15;"GAWW-07";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9004355 52.3744209)";"POINT(52.3744209 4.9004355)";4.9004355;52.3744209
16;"GAWW-09";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8984745 52.3750468)";"POINT(52.3750468 4.8984745)";4.8984745;52.3750468
17;"GAKW-01";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8920947 52.3725984)";"POINT(52.3725984 4.8920947)";4.8920947;52.3725984
18;"GAKW-02";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8916984 52.3708291)";"POINT(52.3708291 4.8916984)";4.8916984;52.3708291
19;"GAKW-03";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8910722 52.3687529)";"POINT(52.3687529 4.8910722)";4.8910722;52.3687529
20;"GAKW-05";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8922527 52.3693896)";"POINT(52.3693896 4.8922527)";4.8922527;52.3693896
21;"GAKW-04";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"";"POINT(4.8916561 52.3680077)";"POINT(52.3680077 4.8916561)";4.8916561;52.3680077
22;"GAKW-02";"3D sensor";"Eigen voeding via lichtnet";0;"Nee";"";"POINT(4.8916806 52.3708063)";"POINT(52.3708063 4.8916806)";4.8916806;52.3708063
23;"GAKW-01";"Telcamera";"Eigen voeding via lichtnet";200;"Nee";"";"POINT(4.8920887 52.3725294)";"POINT(52.3725294 4.8920887)";4.8920887;52.3725294
24;"GAKW-02";"Telcamera";"Eigen voeding via lichtnet";175;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8916944 52.3708194)";"POINT(52.3708194 4.8916944)";4.8916944;52.3708194
26;"GABW-03";"WiFi sensor";"Vaste spanning";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.901852 52.3794284)";"POINT(52.3794284 4.901852)";4.901852;52.3794284
27;"GABW-04";"WiFi sensor";"Vaste spanning";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9013573 52.3794903)";"POINT(52.3794903 4.9013573)";4.9013573;52.3794903
28;"GABW-06";"WiFi sensor";"Vaste spanning";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9007613 52.3797486)";"POINT(52.3797486 4.9007613)";4.9007613;52.3797486
29;"GABW-02";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9003023 52.3800033)";"POINT(52.3800033 4.9003023)";4.9003023;52.3800033
30;"GABW-01";"WiFi sensor";"Vaste spanning";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8995572 52.3801306)";"POINT(52.3801306 4.8995572)";4.8995572;52.3801306
31;"GAAB-07";"Telcamera";"Eigen voeding via lichtnet";160;"Nee";"";"POINT(4.9447107 52.3135635)";"POINT(52.3135635 4.9447107)";4.9447107;52.3135635
32;"GABW-05";"WiFi sensor";"Vaste spanning";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9021011 52.3792378)";"POINT(52.3792378 4.9021011)";4.9021011;52.3792378
33;"GAAB-07";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9446357 52.3136536)";"POINT(52.3136536 4.9446357)";4.9446357;52.3136536
34;"GAAB-01-01";"Telcamera";"Eigen voeding via lichtnet";100;"Nee";"";"POINT(4.9446052 52.3130305)";"POINT(52.3130305 4.9446052)";4.9446052;52.3130305
35;"GAAB-01-02";"Telcamera";"Eigen voeding via lichtnet";100;"Nee";"";"POINT(4.9443543 52.3126442)";"POINT(52.3126442 4.9443543)";4.9443543;52.3126442
36;"GAAB-01-01";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9444795 52.3130122)";"POINT(52.3130122 4.9444795)";4.9444795;52.3130122
37;"GAAB-01-02";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.944241 52.3126187)";"POINT(52.3126187 4.944241)";4.944241;52.3126187
38;"GAAB-10";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9479068 52.3126963)";"POINT(52.3126963 4.9479068)";4.9479068;52.3126963
39;"GAAB-11";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9469769 52.3120404)";"POINT(52.3120404 4.9469769)";4.9469769;52.3120404
40;"GAAB-13";"Telcamera";"Eigen voeding via lichtnet";150;"Nee";"";"POINT(4.9436998 52.3121537)";"POINT(52.3121537 4.9436998)";4.9436998;52.3121537
41;"GAAB-13";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9436104 52.3122412)";"POINT(52.3122412 4.9436104)";4.9436104;52.3122412
42;"GAAB-08";"Telcamera";"Eigen voeding via lichtnet";185;"Nee";"";"POINT(4.9426186 52.3118578)";"POINT(52.3118578 4.9426186)";4.9426186;52.3118578
43;"GAAB-08";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9426424 52.3119672)";"POINT(52.3119672 4.9426424)";4.9426424;52.3119672
44;"GAAB-02";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9418324 52.3128315)";"POINT(52.3128315 4.9418324)";4.9418324;52.3128315
45;"GAAB-03";"Telcamera";"Eigen voeding via lichtnet";170;"Nee";"";"POINT(4.940806 52.3126431)";"POINT(52.3126431 4.940806)";4.940806;52.3126431
46;"GAAB-03";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9406707 52.3126478)";"POINT(52.3126478 4.9406707)";4.9406707;52.3126478
47;"GAAB-09";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9396819 52.3138791)";"POINT(52.3138791 4.9396819)";4.9396819;52.3138791
48;"GAAB-04";"Telcamera";"Eigen voeding via lichtnet";225;"Nee";"";"POINT(4.9374676 52.3145172)";"POINT(52.3145172 4.9374676)";4.9374676;52.3145172
49;"GAAB-04";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9375272 52.3144662)";"POINT(52.3144662 4.9375272)";4.9375272;52.3144662
50;"GAAB-05";"Telcamera";"Eigen voeding via lichtnet";350;"Nee";"";"POINT(4.9389899 52.3153294)";"POINT(52.3153294 4.9389899)";4.9389899;52.3153294
51;"GAAB-05";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9389839 52.3152383)";"POINT(52.3152383 4.9389839)";4.9389839;52.3152383
52;"GAAB-06";"Telcamera";"Eigen voeding via lichtnet";340;"Nee";"";"POINT(4.9414079 52.3161918)";"POINT(52.3161918 4.9414079)";4.9414079;52.3161918
53;"GAAB-06";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9414831 52.3161044)";"POINT(52.3161044 4.9414831)";4.9414831;52.3161044
54;"GVCV01";"Telcamera";"Vaste spanning";30;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.899044 52.3806799)";"POINT(52.3806799 4.899044)";4.899044;52.3806799
55;"GVCV02";"Telcamera";"Vaste spanning";30;"Nee";"";"POINT(4.8991969 52.3806177)";"POINT(52.3806177 4.8991969)";4.8991969;52.3806177
57;"CMSA-GVCV04";"Telcamera";"Eigen voeding via lichtnet";30;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8995242 52.3805161)";"POINT(52.3805161 4.8995242)";4.8995242;52.3805161
58;"GVCV03";"Telcamera";"Vaste spanning";30;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8993605 52.3805669)";"POINT(52.3805669 4.8993605)";4.8993605;52.3805669
62;"GAKW-05";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8922527 52.3693896)";"POINT(52.3693896 4.8922527)";4.8922527;52.3693896
63;"GAKS-06";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8916733 52.3690096)";"POINT(52.3690096 4.8916733)";4.8916733;52.3690096
64;"GAKW-04";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8916368 52.3679271)";"POINT(52.3679271 4.8916368)";4.8916368;52.3679271
70;"GAWW-13";"Telcamera";"Vaste spanning";280;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8977005 52.3724254)";"POINT(52.3724254 4.8977005)";4.8977005;52.3724254
71;"GAWW-14";"Telcamera";"Vaste spanning";50;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8982684 52.3736112)";"POINT(52.3736112 4.8982684)";4.8982684;52.3736112
72;"GAWW-15";"Telcamera";"Vaste spanning";60;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8982156 52.3729119)";"POINT(52.3729119 4.8982156)";4.8982156;52.3729119
73;"GAWW-16";"Telcamera";"Vaste spanning";10;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8982454 52.3725964)";"POINT(52.3725964 4.8982454)";4.8982454;52.3725964
74;"GAWW-17";"Telcamera";"Vaste spanning";50;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8966407 52.3727814)";"POINT(52.3727814 4.8966407)";4.8966407;52.3727814
